CustomerID,Gender,Age,Tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,Female,72,44,One Year,Bank Transfer,55.9,536.83,No
2,Male,23,14,One Year,Credit Card,86.61,1663.22,No
3,Female,18,3,Month-to-Month,PayPal,54.83,2366.52,No
4,Male,28,12,One Year,Bank Transfer,102.93,1258.9,No
5,Male,72,58,Month-to-Month,PayPal,68.97,3419.85,Yes
6,Female,61,14,Two Year,Bank Transfer,51.26,4054.2,No
7,Female,38,41,One Year,Credit Card,101.79,3896.41,No
8,Female,71,17,Month-to-Month,Credit Card,45.92,2881.86,Yes
9,Male,35,36,One Year,PayPal,92.61,2334.39,No
10,Female,41,25,Month-to-Month,PayPal,52.76,4640.6,No
11,Male,75,32,Month-to-Month,PayPal,64.72,661.06,Yes
12,Female,23,23,One Year,Credit Card,82.63,2603.37,No
13,Female,64,41,Month-to-Month,PayPal,85.41,1673.33,Yes
14,Male,51,43,Two Year,PayPal,66.75,2282.3,Yes
15,Female,25,57,Month-to-Month,Bank Transfer,34.43,3235.52,No
16,Male,34,34,Two Year,Bank Transfer,95.29,2931.95,Yes
17,Female,48,33,Month-to-Month,Credit Card,108.51,3596.23,No
18,Male,47,57,Month-to-Month,Credit Card,111.66,189.78,Yes
19,Female,61,28,Month-to-Month,Bank Transfer,29.86,2453.73,Yes
20,Male,77,51,One Year,Credit Card,91.84,3488.89,No
21,Female,47,60,One Year,PayPal,40.84,3992.86,Yes
22,Male,19,7,Two Year,PayPal,30.24,658.6,No
23,Female,46,2,Two Year,Credit Card,27.11,1653.4,Yes
24,Male,33,35,Month-to-Month,PayPal,20.43,2967.11,Yes
25,Female,22,48,One Year,Bank Transfer,112.22,1988.09,Yes
26,Male,23,7,One Year,PayPal,80.5,2011.84,No
27,Female,70,67,Two Year,Bank Transfer,80.33,892.47,No
28,Male,35,71,Two Year,Bank Transfer,101.14,1173.64,No
29,Male,30,62,One Year,Credit Card,106.17,1476.49,No
30,Male,52,55,One Year,Bank Transfer,20.46,3615.67,No
31,Female,75,22,Month-to-Month,PayPal,95.46,2135.01,No
32,Female,21,28,Month-to-Month,Bank Transfer,58.9,1130.65,Yes
33,Female,25,5,Two Year,Bank Transfer,52.79,407.42,Yes
34,Female,50,66,One Year,PayPal,94.46,2851.01,No
35,Female,71,48,Month-to-Month,Bank Transfer,63.02,1106.97,Yes
36,Male,28,56,Two Year,Bank Transfer,118.62,2990.37,No
37,Female,24,36,Two Year,PayPal,104.29,2771.67,No
38,Male,42,24,One Year,Credit Card,39.17,1749.27,No
39,Female,36,32,Month-to-Month,Credit Card,71.34,1248.26,Yes
40,Female,75,70,Month-to-Month,PayPal,90.42,2239.76,No
41,Female,77,46,Two Year,PayPal,53.3,1744.79,Yes
42,Female,20,55,One Year,Credit Card,36.78,1734.94,No
43,Male,59,15,One Year,PayPal,64.05,4716.19,No
44,Male,53,43,Two Year,Bank Transfer,32.38,2993.56,Yes
45,Female,18,63,One Year,Bank Transfer,43.57,3335.53,No
46,Male,56,62,Two Year,Bank Transfer,92.02,1048.95,No
47,Female,76,70,One Year,PayPal,60.53,2061.28,No
48,Female,59,22,Month-to-Month,Credit Card,63.89,1366.3,No
49,Male,52,25,One Year,Credit Card,82.91,4637.43,Yes
50,Male,70,61,One Year,Credit Card,58.13,2347.61,No
51,Male,28,38,Month-to-Month,Bank Transfer,64.56,4582.86,Yes
52,Male,63,51,Month-to-Month,Credit Card,95.39,2561.32,Yes
53,Female,45,58,Two Year,Credit Card,72.4,4877.42,No
54,Male,24,9,One Year,PayPal,103.59,3479.86,Yes
55,Female,31,11,One Year,PayPal,86.0,2948.89,Yes
56,Male,38,49,Two Year,Bank Transfer,66.32,3285.42,Yes
57,Male,23,69,Month-to-Month,PayPal,111.13,591.42,No
58,Male,53,53,One Year,PayPal,61.65,3165.59,Yes
59,Female,50,69,Two Year,Bank Transfer,115.63,1582.68,No
60,Female,24,10,Two Year,PayPal,108.41,3897.25,No
61,Male,78,2,One Year,Bank Transfer,51.11,2069.85,No
62,Male,78,32,Two Year,PayPal,22.25,4373.32,No
63,Male,77,65,Two Year,Bank Transfer,48.28,1883.86,No
64,Male,48,18,Two Year,Credit Card,66.15,1490.73,No
65,Female,67,16,Two Year,Credit Card,109.77,2574.87,Yes
66,Female,44,16,One Year,Credit Card,40.09,2345.9,No
67,Male,40,37,Month-to-Month,Credit Card,115.65,377.2,No
68,Female,18,55,Two Year,Credit Card,118.1,3865.13,No
69,Female,58,59,Month-to-Month,PayPal,67.54,2015.47,No
70,Female,43,55,Two Year,PayPal,34.63,2348.71,No
71,Female,53,54,Month-to-Month,Bank Transfer,95.86,3582.69,No
72,Male,74,40,One Year,PayPal,54.86,336.66,Yes
73,Female,52,1,One Year,Credit Card,53.0,1332.98,No
74,Female,67,11,One Year,Credit Card,30.02,1179.49,No
75,Female,64,5,One Year,PayPal,117.62,2682.18,Yes
76,Female,70,21,Month-to-Month,PayPal,109.4,4291.03,Yes
77,Female,20,55,Two Year,Credit Card,49.53,2438.85,No
78,Male,71,20,One Year,PayPal,26.41,1604.92,No
79,Male,37,23,Two Year,Credit Card,68.56,600.77,No
80,Male,69,10,Month-to-Month,Credit Card,37.51,113.19,No
81,Female,59,48,One Year,Bank Transfer,69.27,1485.56,No
82,Male,38,45,One Year,Credit Card,97.55,2375.32,Yes
83,Male,47,34,One Year,Bank Transfer,57.38,1848.07,No
84,Male,78,61,Month-to-Month,PayPal,77.72,2349.93,No
85,Male,55,64,Two Year,Bank Transfer,74.92,2254.75,No
86,Male,59,43,One Year,PayPal,60.18,2305.83,Yes
87,Female,75,64,One Year,PayPal,116.8,3387.25,No
88,Female,47,40,Two Year,Bank Transfer,54.12,1922.35,No
89,Female,43,44,Two Year,PayPal,23.39,4117.78,Yes
90,Female,23,22,One Year,PayPal,104.6,4024.81,Yes
91,Male,40,17,One Year,Credit Card,113.09,1234.27,Yes
92,Male,24,42,Month-to-Month,Credit Card,68.56,652.82,No
93,Male,46,7,One Year,Credit Card,28.2,4533.84,No
94,Male,61,64,Month-to-Month,PayPal,28.88,939.56,Yes
95,Female,37,52,Month-to-Month,Bank Transfer,76.81,3277.51,No
96,Female,28,25,Two Year,Bank Transfer,31.88,4342.59,Yes
97,Female,23,58,Month-to-Month,PayPal,39.61,125.21,No
98,Female,37,22,Month-to-Month,Bank Transfer,98.1,1405.07,No
99,Female,67,55,One Year,PayPal,42.19,1512.82,Yes
100,Female,44,50,One Year,Credit Card,58.56,3481.2,No
101,Male,47,46,Month-to-Month,PayPal,57.22,3262.64,No
102,Male,33,16,Month-to-Month,Bank Transfer,64.02,2810.07,Yes
103,Male,65,43,Month-to-Month,Bank Transfer,62.03,4572.97,No
104,Male,73,35,Month-to-Month,Credit Card,72.19,4936.37,Yes
105,Male,50,58,Month-to-Month,Bank Transfer,73.07,432.8,No
106,Female,32,30,Month-to-Month,PayPal,42.43,4370.79,No
107,Male,49,49,Month-to-Month,Bank Transfer,34.95,1145.27,No
108,Female,38,69,Month-to-Month,Credit Card,38.59,855.32,No
109,Female,52,39,Two Year,PayPal,40.43,3927.0,No
110,Female,71,61,One Year,PayPal,102.1,3201.9,No
111,Female,57,70,Two Year,PayPal,113.01,393.05,No
112,Male,18,39,One Year,Credit Card,93.9,1154.93,No
113,Female,43,6,Two Year,Bank Transfer,24.16,3588.78,No
114,Female,69,5,One Year,Bank Transfer,79.94,152.43,Yes
115,Female,53,7,Month-to-Month,Credit Card,98.07,1496.44,No
